id,title,group,row_type,one_liner,context
A,Meta-Orchestration & Governance Layer,,group,"Capa de sistemas que gobierna, coordina y vuelve operables múltiples proyectos y rutinas de trabajo.","Este grupo reúne proyectos orientados a gobernar la operación de tu ecosistema técnico y organizativo, más que a producir un output temático aislado. Su función es coordinar flujos, rituales, chequeos, routing, automatización y supervisión para que los demás frentes funcionen con menos fricción, menos olvido y más trazabilidad. Sigue activo porque reduce carga cognitiva, mejora continuidad entre sesiones y permite escalar trabajo asistido por agentes y scripts. El progreso real en este grupo se ve cuando las rutinas quedan más gobernadas, las piezas se integran mejor y la operación diaria depende menos de memoria improvisada."
A.1,Ops Autopilot Pack,,group,"Paquete de automatizaciones orientadas a sostener operación, seguimiento y respuesta dentro de tu stack personal.","Este subgrupo agrupa utilidades y microservicios que automatizan acciones operativas recurrentes como enrutar eventos, empujar recordatorios útiles, revisar proyectos o clasificar inputs entrantes. Existe para descargar trabajo repetitivo y volver más confiable el seguimiento de frentes abiertos sin exigir intervención manual constante. Sigue activo porque constituye una base de delegación parcial hacia agentes y procesos automáticos. El progreso real se ve cuando cada componente reduce trabajo manual, se integra con reglas claras y entrega señales o acciones accionables con bajo mantenimiento."
3,Event Router,A,project,"Componente de routing que distribuye eventos o inputs hacia destinos, flujos o tratamientos adecuados.","Este proyecto implementa una pieza de infraestructura para recibir eventos, señales o inputs del ecosistema y derivarlos hacia el flujo, destino o tratamiento correcto. Su motivación es evitar acoplamientos ad hoc y permitir que distintos sistemas compartan una lógica de encaminamiento más estable y reutilizable. Sigue siendo relevante porque ayuda a ordenar interacciones entre capturas, automatizaciones, buses y superficies operativas. El progreso real consiste en tener reglas de routing más claras, integración limpia con otros componentes y menor necesidad de intervención manual para decidir adónde va cada cosa."
7,Strategic Planning + Pingbot Nudges,A,project,"Sistema de planificación estratégica con nudges ligeros para sostener foco, seguimiento y continuidad.","Este proyecto combina una capa de planificación estratégica con mecanismos de recordatorio o nudges que ayudan a mantener vivos objetivos, decisiones y líneas de acción sin depender solo de disciplina espontánea. Existe para traducir planes y prioridades en pequeñas intervenciones operativas que empujen continuidad a lo largo de la semana o del mes. Sigue activo porque conecta estrategia con ejecución cotidiana y puede volverse una pieza transversal de tu sistema personal de gobierno. El progreso real se ve cuando los nudges son más pertinentes, la planificación produce seguimiento efectivo y la herramienta ayuda a sostener dirección sin volverse ruido."
14,Auto Projects checker,A,project,"Chequeador automático del portfolio para detectar estados, huecos y necesidades de revisión.","Este proyecto apunta a inspeccionar automáticamente la superficie de proyectos de tu portfolio y señalar inconsistencias, desactualización, falta de contexto o necesidades de decisión. Su motivación es reducir el costo de hacer sweep y mantener la gobernanza del portfolio más cerca de una inspección asistida que de una reconstrucción manual completa. Sigue activo porque tu sistema depende de poder revisar muchos frentes sin perder claridad ni tiempo en tareas mecánicas. El progreso real consiste en que detecte mejor problemas útiles, produzca reportes claros y se convierta en una ayuda concreta para barridos semanales y mantenimiento del portfolio."
5,Email Triage Manager,A,project,"Sistema para clasificar, priorizar y encauzar correos dentro de un flujo operativo más gobernado.","Este proyecto organiza el tratamiento del email como un problema de triage operativo y no solo de lectura manual de bandeja. Busca clasificar correos, distinguir prioridades, enrutar acciones y convertir mensajes en tareas, señales o artefactos que puedan procesarse mejor dentro de tu ecosistema. Sigue siendo importante porque el email es una fuente constante de inputs que, si no se gobiernan, contaminan foco y generan reactividad. El progreso real se ve cuando el sistema clasifica con criterios más útiles, reduce fricción en la bandeja y facilita convertir correos en acciones o decisiones bien encaminadas."
92,Capture Manual,A,project,Manual de captura que define cómo convertir discurso o pensamiento en artefactos operativos reutilizables.,"Este proyecto es el manual que define modos de captura, routing y transformación de discurso humano en artefactos más útiles para memoria, coordinación y trabajo downstream. Existe para dar una gramática explícita a sesiones de captura y permitir que asistentes o sistemas interpreten mejor qué hacer con ese material. Sigue activo porque ya mostró valor inmediato como capa transversal de intake y packaging cognitivo. El progreso real se ve cuando el manual se vuelve más claro, más fácil de usar y más efectivo para producir artefactos consistentes a partir de capturas."
A.2,Runtime Orchestration,,group,"Conjunto de piezas que gobiernan ejecución, cadencia y coordinación temporal de automatizaciones y rituales.","Este subgrupo reúne proyectos centrados en la orquestación efectiva del runtime: rituales periódicos, disparadores, cron, systemd y otras superficies que deciden cuándo corre qué cosa y bajo qué reglas. Existe para que la automatización no sea solo código disponible, sino capacidad realmente ejecutada de forma confiable y observable. Sigue activo porque una parte grande del valor de tu stack depende de que las piezas corran en el momento correcto y con el grado justo de supervisión. El progreso real se ve cuando hay mejor coordinación temporal, menos ejecuciones frágiles y más previsibilidad en la operación automática."
2,Weekly Sweep Ritual: Control Tower + Hedge portfolio,A,project,"Ritual semanal de gobernanza para revisar portfolio, decidir carriles y reasignar atención.","Este proyecto formaliza el barrido semanal de tu portfolio usando la Control Tower y la lógica de revisión de frentes, prioridades y cobertura de riesgo entre proyectos. Su motivación es convertir la revisión semanal en un procedimiento estable que permita decidir qué sigue activo, qué se enfría, qué requiere rescate y cómo repartir atención sin depender de impulsos del momento. Sigue activo porque es una pieza central de tu sistema de gobernanza personal y reduce caos, olvido y reexplicación constante. El progreso real consiste en que el ritual produzca decisiones más nítidas, mejor clasificación de proyectos y una transición más limpia entre semanas."
9,Cron + Systemd Orchestration governance,A,project,"Capa de gobernanza para automatizaciones disparadas por cron, systemd y otros mecanismos del sistema.","Este proyecto se ocupa de ordenar y gobernar la ejecución programada de scripts, servicios y automatizaciones disparadas por cron, systemd u otros mecanismos de scheduling del sistema. Existe para que la automatización de bajo nivel no quede dispersa, opaca o difícil de mantener, y para asegurar que cada proceso tenga reglas, observabilidad y propósito claros. Sigue activo porque muchas capacidades útiles de tu stack dependen de ejecución periódica confiable. El progreso real se ve cuando las tareas programadas están mejor documentadas, son más robustas, tienen mejores controles y se integran más limpiamente con el resto del ecosistema."
